system,total_questions,correct_retrievals,incorrect_retrievals,retrieval_accuracy,llm_score_correct_ret,llm_score_incorrect_ret,exact_match_correct_ret,exact_match_incorrect_ret,f1_correct_ret,f1_incorrect_ret
Azure_gpt4omini,159,146,13,91.82389937106919,4.863013698630137,3.769230769230769,30.82191780821918,38.46153846153847,0.47968105317215565,0.4338366947062599
Local_gpt4omini,159,150,9,94.33962264150944,4.86,3.2222222222222223,32.0,22.22222222222222,0.48568357013264307,0.2525252525252525
Azure_flant5,159,146,13,91.82389937106919,2.308219178082192,1.7692307692307692,10.273972602739725,0.0,0.19629859195198054,0.04522294747858656
Local_flant5,159,150,9,94.33962264150944,2.34,2.2222222222222223,10.0,0.0,0.2022555133192388,0.055289739500265805
